Spine,shaft_name,shaft_x,max_soma_v,max_shaft_v,max_spine_v,soma_v_integ,shaft_v_integ,spine_v_integ,ir_shaft,z_shaft,dist_shaft
1,cell1303_03_model_cm_0_43[0].dend[10],0.643,-85.7384,-71.7231,-69.2359,262.433,3061.71,3450.73,462.308,283.233,196.537
0,cell1303_03_model_cm_0_43[0].dend[10],0.643,-85.731,-71.1838,0,269.349,3142.31,0,462.308,283.233,196.537
1,cell1303_03_model_cm_0_43[0].dend[10],0.786,-85.7447,-69.7545,-67.2889,256.502,3390.4,3772.01,521.779,329.829,219.173
0,cell1303_03_model_cm_0_43[0].dend[10],0.786,-85.7377,-69.1453,0,263.065,3477.06,0,521.779,329.829,219.173
1,cell1303_03_model_cm_0_43[0].dend[10],0.929,-85.751,-67.7909,-65.2842,250.448,3704.72,4078.01,582.775,379.678,241.809
0,cell1303_03_model_cm_0_43[0].dend[10],0.929,-85.7444,-67.1177,0,256.632,3796.1,0,582.775,379.678,241.809
1,cell1303_03_model_cm_0_43[0].dend[10],1.000,-85.7543,-66.8195,-64.2625,247.28,3855.76,4224.33,614.252,406.158,253.127
0,cell1303_03_model_cm_0_43[0].dend[10],1.000,-85.7479,-66.1185,0,253.261,3948.91,0,614.252,406.158,253.127
1,cell1303_03_model_cm_0_43[0].dend[11],0.056,-85.7061,-79.447,-76.1139,290.472,1602.48,2019.13,226.334,117.226,104.079
0,cell1303_03_model_cm_0_43[0].dend[11],0.056,-85.6971,-79.1788,0,298.888,1648.87,0,226.334,117.226,104.079
1,cell1303_03_model_cm_0_43[0].dend[11],0.167,-85.7152,-77.9692,-74.7948,283.573,1912.65,2323.4,273.859,147.067,122.885
0,cell1303_03_model_cm_0_43[0].dend[11],0.167,-85.7067,-77.6475,0,291.63,1966.95,0,273.859,147.067,122.885
1,cell1303_03_model_cm_0_43[0].dend[11],0.278,-85.7227,-76.5501,-73.6124,277.5,2214.86,2620.27,321.16,177.117,141.691
0,cell1303_03_model_cm_0_43[0].dend[11],0.278,-85.7144,-76.1825,0,285.249,2276.65,0,321.16,177.117,141.691
1,cell1303_03_model_cm_0_43[0].dend[11],0.389,-85.729,-75.114,-72.408,272.029,2510.32,2910.69,368.469,208.04,160.497
0,cell1303_03_model_cm_0_43[0].dend[11],0.389,-85.7211,-74.6995,0,279.5,2579.2,0,368.469,208.04,160.497
1,cell1303_03_model_cm_0_43[0].dend[11],0.500,-85.7346,-73.6289,-71.0932,266.959,2799.4,3194.75,416.016,240.414,179.303
0,cell1303_03_model_cm_0_43[0].dend[11],0.500,-85.7269,-73.1633,0,274.167,2874.91,0,416.016,240.414,179.303
1,cell1303_03_model_cm_0_43[0].dend[11],0.611,-85.7398,-72.0969,-69.661,262.112,3081.74,3471.84,464.036,274.634,198.109
