NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
5	100316_Cl4_5to2	dend	12	0.5	dend	8	0.5	dend	11	0.833333333333	apic	2	0.5	dend	53	0.5	0.3	1.8	0.000476	141.939	0.003050
5	100316_Cl4_5to2	apic	2	0.5	dend	10	0.5	dend	6	0.5	apic	2	1.0	dend	4	0.5	0.3	1.8	0.000469	141.946	0.003044
5	100316_Cl4_5to2	dend	11	1.0	dend	10	0.5	dend	7	1.0	apic	0	1.0	dend	11	0.166666666667	0.3	1.8	0.000492	141.832	0.003076
5	100316_Cl4_5to2	dend	5	0.0333333333333	dend	64	1.0	dend	52	1.0	dend	42	0.5	dend	37	1.0	0.3	1.8	0.000469	141.926	0.003057
5	100316_Cl4_5to2	dend	30	0.5	dend	9	1.0	dend	6	1.0	dend	29	0.388888888889	dend	5	0.0333333333333	0.3	1.8	0.000468	141.860	0.003094
5	100316_Cl4_5to2	dend	6	0.5	apic	1	1.0	dend	11	0.833333333333	apic	3	0.166666666667	dend	30	0.5	0.3	1.8	0.000477	141.923	0.003042
5	100316_Cl4_5to2	dend	11	1.0	dend	8	0.833333333333	apic	1	0.5	dend	64	1.0	dend	12	0.5	0.3	1.8	0.000479	141.841	0.003072
5	100316_Cl4_5to2	apic	1	0.1	dend	8	1.0	apic	1	0.7	dend	12	0.5	dend	4	1.0	0.3	1.8	0.000472	141.925	0.003051
5	100316_Cl4_5to2	dend	11	0.833333333333	dend	8	0.833333333333	apic	2	1.0	dend	53	0.5	apic	3	0.166666666667	0.3	1.8	0.000482	141.941	0.003029
5	100316_Cl4_5to2	dend	11	0.166666666667	apic	1	0.9	apic	1	0.7	dend	11	1.0	apic	1	0.9	0.3	1.8	0.000513	141.848	0.003072
5	100316_Cl4_5to2	dend	6	0.5	dend	38	0.0555555555556	dend	30	0.5	apic	1	0.7	dend	11	0.166666666667	0.3	1.8	0.000470	141.876	0.003062
5	100316_Cl4_5to2	dend	6	0.5	dend	7	0.5	dend	42	0.5	dend	37	0.5	dend	6	1.0	0.3	1.8	0.000465	141.911	0.003058
5	100316_Cl4_5to2	apic	3	0.166666666667	dend	8	0.166666666667	apic	0	1.0	apic	1	0.3	dend	11	0.833333333333	0.3	1.8	0.000477	141.915	0.003030
5	100316_Cl4_5to2	apic	8	0.5	dend	52	1.0	dend	30	0.5	dend	11	0.5	dend	5	0.0333333333333	0.3	1.8	0.000472	141.899	0.003040
5	100316_Cl4_5to2	dend	10	0.5	dend	38	0.0555555555556	dend	49	0.3	dend	38	0.0555555555556	apic	1	0.1	0.3	1.8	0.000472	141.949	0.003056
5	100316_Cl4_5to2	apic	1	0.7	apic	1	1.0	dend	37	0.5	dend	4	0.5	dend	11	0.5	0.3	1.8	0.000481	141.922	0.003065
5	100316_Cl4_5to2	dend	42	0.5	dend	4	0.5	dend	0	1.0	dend	53	0.5	apic	3	0.166666666667	0.3	1.8	0.000469	141.901	0.003031
5	100316_Cl4_5to2	dend	5	0.0333333333333	dend	8	0.166666666667	dend	29	0.388888888889	dend	42	0.5	dend	38	0.0555555555556	0.3	1.8	0.000472	141.794	0.003098
5	100316_Cl4_5to2	apic	3	0.166666666667	dend	37	0.5	dend	6	1.0	dend	29	0.277777777778	dend	38	0.0555555555556	0.3	1.8	0.000470	141.910	0.003055
5	100316_Cl4_5to2	dend	11	0.166666666667	dend	37	1.0	dend	12	0.5	dend	8	0.5	apic	2	1.0	0.3	1.8	0.000474	141.887	0.003047
5	100316_Cl4_5to2	dend	30	0.5	dend	7	1.0	dend	42	0.5	dend	37	1.0	dend	36	1.0	0.3	1.8	0.000465	141.940	0.003058
5	100316_Cl4_5to2	apic	1	0.5	apic	8	0.5	dend	37	1.0	dend	11	1.0	dend	7	1.0	0.3	1.8	0.000479	141.949	0.003041
5	100316_Cl4_5to2	dend	6	0.5	dend	8	0.166666666667	dend	9	1.0	dend	5	0.0333333333333	dend	11	0.833333333333	0.3	1.8	0.000482	141.811	0.003082
5	100316_Cl4_5to2	dend	53	0.5	dend	0	1.0	dend	6	0.5	dend	38	0.0555555555556	apic	2	1.0	0.3	1.8	0.000467	141.950	0.003042
5	100316_Cl4_5to2	dend	1	0.166666666667	dend	12	0.5	dend	6	1.0	apic	1	0.5	dend	7	1.0	0.3	1.8	0.000469	141.891	0.003054
5	100316_Cl4_5to2	dend	10	1.0	dend	52	1.0	dend	64	1.0	dend	52	1.0	apic	1	0.9	0.3	1.8	0.000475	141.945	0.003073
5	100316_Cl4_5to2	dend	0	1.0	apic	3	0.166666666667	dend	10	1.0	dend	49	0.3	dend	37	1.0	0.3	1.8	0.000472	141.886	0.003040
5	100316_Cl4_5to2	dend	53	0.5	dend	7	0.5	dend	7	1.0	dend	7	1.0	dend	37	1.0	0.3	1.8	0.000471	141.932	0.003056
5	100316_Cl4_5to2	dend	8	0.833333333333	apic	1	1.0	dend	8	0.166666666667	dend	37	0.5	apic	1	0.7	0.3	1.8	0.000485	141.811	0.003067
5	100316_Cl4_5to2	dend	42	0.5	apic	3	0.166666666667	dend	8	0.833333333333	apic	1	0.3	dend	11	0.5	0.3	1.8	0.000480	141.949	0.003043
5	100316_Cl4_5to2	dend	42	0.5	apic	1	0.5	dend	8	0.5	dend	11	1.0	apic	1	0.5	0.3	1.8	0.000485	141.838	0.003061
5	100316_Cl4_5to2	dend	1	0.166666666667	dend	4	1.0	apic	1	0.3	dend	53	0.5	dend	11	1.0	0.3	1.8	0.000473	141.886	0.003053
5	100316_Cl4_5to2	dend	36	1.0	dend	6	1.0	dend	11	1.0	dend	53	0.5	dend	37	0.5	0.3	1.8	0.000469	141.928	0.003056
5	100316_Cl4_5to2	dend	29	0.277777777778	dend	37	1.0	dend	37	1.0	dend	4	0.5	dend	12	0.5	0.3	1.8	0.000465	141.903	0.003074
5	100316_Cl4_5to2	apic	1	0.1	apic	0	1.0	dend	9	1.0	dend	11	0.833333333333	dend	38	0.0555555555556	0.3	1.8	0.000475	141.944	0.003053
5	100316_Cl4_5to2	dend	11	0.166666666667	apic	1	0.1	dend	12	0.5	dend	29	0.277777777778	dend	11	0.166666666667	0.3	1.8	0.000474	141.945	0.003091
5	100316_Cl4_5to2	dend	8	0.833333333333	dend	64	0.5	apic	2	0.5	dend	11	0.5	dend	11	0.166666666667	0.3	1.8	0.000482	141.835	0.003073
5	100316_Cl4_5to2	dend	12	1.0	apic	1	1.0	apic	1	1.0	dend	7	0.5	dend	9	1.0	0.3	1.8	0.000488	141.830	0.003064
5	100316_Cl4_5to2	dend	11	0.5	apic	1	0.1	apic	1	0.1	dend	8	0.833333333333	apic	1	0.5	0.3	1.8	0.000478	141.948	0.003053
