Spine,shaft_name,shaft_x,max_soma_v,max_shaft_v,max_spine_v,soma_v_integ,shaft_v_integ,spine_v_integ,ir_shaft,z_shaft,dist_shaft
1,cell0603_08_model_cm_0_45[0].dend[17],0.278,-85.5723,-78.6669,-75.3887,346.438,1554.36,1969.29,219.887,133.411,125.156
0,cell0603_08_model_cm_0_45[0].dend[17],0.278,-85.5592,-78.3683,0,356.358,1598.85,0,219.887,133.411,125.156
1,cell0603_08_model_cm_0_45[0].dend[17],0.389,-85.5812,-77.343,-74.2695,340.187,1776.85,2187.16,254.145,161.174,143.369
0,cell0603_08_model_cm_0_45[0].dend[17],0.389,-85.5686,-76.999,0,349.779,1826.94,0,254.145,161.174,143.369
1,cell0603_08_model_cm_0_45[0].dend[17],0.500,-85.5891,-76.0072,-73.0904,334.453,1995.28,2401.05,288.539,189.433,161.582
0,cell0603_08_model_cm_0_45[0].dend[17],0.500,-85.5769,-75.6168,0,343.739,2050.67,0,288.539,189.433,161.582
1,cell0603_08_model_cm_0_45[0].dend[17],0.611,-85.5963,-74.6551,-71.8412,329.086,2209.97,2611.11,323.231,218.444,179.795
0,cell0603_08_model_cm_0_45[0].dend[17],0.611,-85.5845,-74.2179,0,338.077,2270.33,0,323.231,218.444,179.795
1,cell0603_08_model_cm_0_45[0].dend[17],0.722,-85.6032,-73.2934,-70.5334,323.955,2420.94,2817.23,358.384,248.388,198.008
0,cell0603_08_model_cm_0_45[0].dend[17],0.722,-85.5918,-72.8089,0,332.651,2485.91,0,358.384,248.388,198.008
1,cell0603_08_model_cm_0_45[0].dend[17],0.833,-85.6097,-71.9295,-69.1826,318.956,2628.02,3019.12,394.163,279.41,216.221
0,cell0603_08_model_cm_0_45[0].dend[17],0.833,-85.5988,-71.3998,0,327.35,2697.16,0,394.163,279.41,216.221
1,cell0603_08_model_cm_0_45[0].dend[17],0.944,-85.6162,-70.5692,-67.8009,314.012,2830.98,3216.47,430.737,311.667,234.434
0,cell0603_08_model_cm_0_45[0].dend[17],0.944,-85.6057,-69.9966,0,322.096,2903.83,0,430.737,311.667,234.434
1,cell0603_08_model_cm_0_45[0].dend[17],1.000,-85.6195,-69.8902,-67.0948,311.529,2931.12,3313.57,449.492,328.4,243.541
0,cell0603_08_model_cm_0_45[0].dend[17],1.000,-85.6091,-69.2965,0,319.45,3005.62,0,449.492,328.4,243.541
1,cell0603_08_model_cm_0_45[0].dend[18],0.500,-85.4553,-83.9684,-79.9435,391.605,613.015,1048.25,82.8524,30.9863,53.7213
0,cell0603_08_model_cm_0_45[0].dend[18],0.500,-85.4358,-83.8729,0,403.604,631.797,0,82.8524,30.9863,53.7213
1,cell0603_08_model_cm_0_45[0].dend[18],1.000,-85.4812,-83.3666,-79.4121,384.56,713.006,1145.96,96.8273,41.3829,65.8792
0,cell0603_08_model_cm_0_45[0].dend[18],1.000,-85.4633,-83.2447,0,396.254,734.684,0,96.8273,41.3829,65.8792
1,cell0603_08_model_cm_0_45[0].dend[19],0.038,-85.4991,-82.432,-78.5265,378.248,845.965,1275.54,115.732,56.543,75.9392
