,model,number_of_synapses,NMDA_W,tau_1_NMDA,tau_2_NMDA,N_NMDA,GAMMA_NMDA,AMPA_W,DELAY,rmsd_epsp,AMPA_W_B,DELAY_B,rmsd_block,syns_secs,syns_segs
64,29374,25,0.00116283,7.96281,35.2298,0.280112,0.0772736,0.000605041,0.766117,0.00419861,0.000109752,2.05353,0.000203748,"[67, 65, 64, 70, 69, 68, 69, 68, 74, 65, 65, 65, 65, 63, 74, 75, 75, 63, 75, 75, 74, 69, 64, 75, 65]","[0.275698, 0.9245, 0.772544, 0.0451212, 0.930655, 0.519507, 0.969912, 0.362487, 0.816738, 0.398125, 0.975901, 0.819326, 0.623024, 0.680311, 0.931686, 0.526172, 0.748673, 0.915624, 0.48347, 0.410911, 0.747617, 0.361822, 0.402375, 0.144821, 0.353123]"
65,15272,17,0.00166502,6.88389,35.8776,0.280112,0.0764988,0.000834998,1.11716,0.00418797,0.000154363,2.25828,0.000214674,"[68, 64, 63, 57, 2, 67, 68, 69, 75, 69, 65, 68, 73, 68, 75, 69, 65]","[0.980906, 0.507266, 0.215238, 0.373201, 0.0134279, 0.350149, 0.739112, 0.918928, 0.958975, 0.458528, 0.786817, 0.332414, 0.838384, 0.2143, 0.300712, 0.673599, 0.233263]"
66,31927,25,0.00108561,7.61141,35.4541,0.280112,0.076304,0.000594456,1.04228,0.00420488,0.000108438,2.18539,0.000200051,"[70, 63, 75, 68, 74, 67, 74, 69, 67, 68, 56, 65, 65, 65, 64, 69, 69, 74, 68, 64, 68, 67, 67, 64, 69]","[0.340954, 0.424189, 0.104342, 0.977113, 0.90498, 0.283289, 0.597384, 0.881172, 0.682221, 0.684518, 0.437215, 0.27159, 0.300969, 0.26974, 0.0225749, 0.822383, 0.651027, 0.888478, 0.534604, 0.930404, 0.871954, 0.570459, 0.68526, 0.765352, 0.968459]"
67,32134,27,0.00108492,6.85213,35.9129,0.280112,0.0768379,0.000514861,1.00344,0.00418194,9.70423e-05,2.15027,0.000224052,"[65, 75, 65, 64, 73, 68, 65, 69, 69, 64, 73, 75, 75, 67, 68, 56, 61, 67, 67, 68, 75, 65, 73, 69, 75, 69, 72]","[0.15485, 0.93677, 0.343311, 0.789108, 0.800984, 0.496925, 0.382093, 0.130929, 0.778404, 0.833364, 0.1646, 0.480547, 0.37831, 0.132298, 0.191841, 0.0965084, 0.0149482, 0.57277, 0.906041, 0.701777, 0.989734, 0.527051, 0.860124, 0.201303, 0.564873, 0.584086, 0.220561]"
68,50016,17,0.00157481,7.43571,35.5204,0.280112,0.0761282,0.000854236,1.13536,0.00418946,0.00015712,2.26961,0.000217049,"[67, 75, 67, 74, 74, 68, 68, 67, 2, 65, 64, 74, 64, 74, 68, 69, 73]","[0.667189, 0.916452, 0.00367315, 0.680618, 0.465628, 0.544585, 0.325378, 0.0721175, 0.309682, 0.37281, 0.60002, 0.0618864, 0.273143, 0.159498, 0.607864, 0.2005, 0.813276]"
69,3501,25,0.00108785,8.14318,34.8233,0.280112,0.0765325,0.000574107,1.09419,0.00418087,0.000108744,2.44781,0.000226868,"[75, 65, 67, 74, 68, 65, 67, 67, 75, 61, 64, 68, 67, 64, 67, 65, 67, 69, 75, 55, 72, 70, 68, 74, 68]","[0.538674, 0.723428, 0.443783, 0.134995, 0.604821, 0.766337, 0.242651, 0.605719, 0.344408, 0.712936, 0.573186, 0.503048, 0.68978, 0.807549, 0.542361, 0.215918, 0.493434, 0.198039, 0.514187, 0.170127, 0.737454, 0.715379, 0.701255, 0.496397, 0.281185]"
70,17695,23,0.00114476,7.15345,35.8429,0.280112,0.0759228,0.000621887,1.02657,0.00419518,0.000114026,2.25594,0.000212696,"[65, 72, 75, 65, 67, 74, 65, 68, 74, 69, 61, 74, 74, 63, 73, 69, 67, 75, 65, 75, 74, 66, 74]","[0.220772, 0.289006, 0.341111, 0.352516, 0.0836839, 0.159445, 0.526015, 0.177785, 0.796911, 0.558887, 0.763633, 0.307742, 0.155691, 0.338677, 0.558989, 0.380232, 0.777039, 0.0157758, 0.883189, 0.406623, 0.40759, 0.521174, 0.545579]"
71,27767,24,0.00124121,6.56081,36.2226,0.280112,0.0771717,0.000598106,1.09479,0.0041958,0.0001069,2.25219,0.000212794,"[1, 67, 72, 67, 72, 69, 65, 65, 69, 69, 65, 69, 72, 69, 72, 65, 68, 74, 69, 64, 69, 69, 65, 68]","[0.70853, 0.932281, 0.074226, 0.508838, 0.924853, 0.378124, 0.642281, 0.0500163, 0.378729, 0.573236, 0.966539, 0.728702, 0.816857, 0.473807, 0.266367, 0.268631, 0.767517, 0.80872, 0.855604, 0.785274, 0.562065, 0.891113, 0.497454, 0.432588]"
72,56764,26,0.00102311,7.15841,35.6785,0.280112,0.0758514,0.000538869,1.14929,0.00418977,0.000101914,2.32094,0.000219104,"[75, 68, 65, 67, 71, 67, 67, 74, 57, 65, 75, 74, 65, 67, 67, 68, 70, 74, 75, 75, 67, 66, 69, 67, 56, 66]","[0.90686, 0.582493, 0.177591, 0.441018, 0.702923, 0.993696, 0.253198, 0.350892, 0.580132, 0.845157, 0.697252, 0.506615, 0.557932, 0.669864, 0.0877638, 0.743174, 0.169279, 0.0587318, 0.856428, 0.278885, 0.618973, 0.590124, 0.766812, 0.024387, 0.993157, 0.547911]"
73,1030,25,0.00139067,6.63745,36.0119,0.280112,0.0787456,0.000544528,1.11006,0.00418938,0.000103563,2.25191,0.000220296,"[65, 66, 75, 69, 75, 68, 65, 65, 64, 63, 67, 64, 65, 75, 57, 68, 74, 69, 63, 68, 68, 67, 74, 2, 57]","[0.169925, 0.0247851, 0.316578, 0.876314, 0.102231, 0.671738, 0.779389, 0.84706, 0.00753056, 0.0184638, 0.555515, 0.875881, 0.426824, 0.74091, 0.758389, 0.325663, 0.167317, 0.107281, 0.389303, 0.623138, 0.809214, 0.423892, 0.742815, 0.820249, 0.89206]"
74,33493,19,0.00140841,7.73648,35.2349,0.280112,0.0763001,0.000775936,1.0517,0.00418623,0.000140653,2.35913,0.000224457,"[63, 67, 64, 65, 67, 64, 62, 69, 69, 65, 66, 63, 67, 68, 75, 67, 73, 62, 69]","[0.739796, 0.238342, 0.304436, 0.065554, 0.416722, 0.668793, 0.393454, 0.956554, 0.784962, 0.695412, 0.92754, 0.813898, 0.755119, 0.386982, 0.952637, 0.266156, 0.781561, 0.837653, 0.159595]"
75,38840,27,0.0010674,6.016,36.6374,0.280112,0.0761956,0.000517638,0.866142,0.00417006,9.54602e-05,1.95028,0.000241985,"[66, 56, 75, 69, 64, 64, 68, 65, 64, 69, 64, 75, 65, 68, 74, 68, 64, 55, 64, 72, 74, 72, 75, 75, 68, 74, 65]","[0.988012, 0.137799, 0.560715, 0.736503, 0.874294, 0.0698042, 0.44548, 0.709455, 0.273922, 0.303529, 0.837936, 0.176014, 0.934681, 0.436121, 0.112355, 0.836969, 0.078144, 0.616338, 0.702599, 0.512376, 0.579259, 0.565846, 0.854083, 0.619342, 0.606158, 0.732941, 0.77553]"
76,10132,21,0.00195466,6.68692,36.3649,0.280112,0.0808597,0.00067138,0.891192,0.00419007,0.000124528,2.10362,0.000222146,"[74, 67, 68, 67, 75, 65, 75, 67, 74, 68, 74, 65, 73, 73, 74, 67, 69, 56, 74, 68, 56]","[0.192968, 0.0987872, 0.345968, 0.777871, 0.205964, 0.343512, 0.769879, 0.458068, 0.277371, 0.535045, 0.415497, 0.0422833, 0.709339, 0.561966, 0.665808, 0.814934, 0.260733, 0.619786, 0.612347, 0.4153, 0.0636074]"
77,50996,23,0.001153,7.18992,35.7385,0.280112,0.0759118,0.000610507,1.0268,0.0042013,0.000114792,2.33023,0.000211039,"[63, 68, 64, 65, 64, 69, 75, 75, 57, 75, 65, 68, 55, 75, 74, 74, 65, 74, 75, 67, 74, 73, 61]","[0.735071, 0.852173, 0.739994, 0.685247, 0.941902, 0.296144, 0.580312, 0.0793641, 0.472442, 0.76003, 0.225354, 0.242247, 0.340763, 0.484364, 0.411055, 0.344903, 0.942773, 0.275708, 0.0110945, 0.560843, 0.980522, 0.843753, 0.851795]"
